group,split_year,feature,n,missing_n,missing_rate
medicine,2020,EMT_年齡,3572,1,0.0002799552071668533
medicine,2020,MISS_EMT_年齡,3572,0,0.0
medicine,2020,MISSREASON_EMT_年齡__source_missing,3572,0,0.0
medicine,2020,MISSREASON_EMT_年齡__not_measured,3572,0,0.0
medicine,2020,MISSREASON_EMT_年齡__sentinel,3572,0,0.0
medicine,2020,MISSREASON_EMT_年齡__invalid_or_out_of_range,3572,0,0.0
medicine,2020,EMT_發生地點_到慈濟_開車km,3572,0,0.0
medicine,2020,MISS_EMT_發生地點_到慈濟_開車km,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_開車km__source_missing,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_開車km__not_measured,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_開車km__sentinel,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_開車km__invalid_or_out_of_range,3572,0,0.0
medicine,2020,EMT_發生地點_到慈濟_直線km,3572,0,0.0
medicine,2020,MISS_EMT_發生地點_到慈濟_直線km,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_直線km__source_missing,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_直線km__not_measured,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_直線km__sentinel,3572,0,0.0
medicine,2020,MISSREASON_EMT_發生地點_到慈濟_直線km__invalid_or_out_of_range,3572,0,0.0
medicine,2020,EMT_反應時間分,3572,1,0.0002799552071668533
medicine,2020,MISS_EMT_反應時間分,3572,0,0.0
medicine,2020,MISSREASON_EMT_反應時間分__source_missing,3572,0,0.0
medicine,2020,MISSREASON_EMT_反應時間分__not_measured,3572,0,0.0
medicine,2020,MISSREASON_EMT_反應時間分__sentinel,3572,0,0.0
medicine,2020,MISSREASON_EMT_反應時間分__invalid_or_out_of_range,3572,0,0.0
medicine,2020,EMT_現場停留分,3572,0,0.0
medicine,2020,MISS_EMT_現場停留分,3572,0,0.0
medicine,2020,MISSREASON_EMT_現場停留分__source_missing,3572,0,0.0
medicine,2020,MISSREASON_EMT_現場停留分__not_measured,3572,0,0.0
