group,outcome,model_a,model_b,status,split,comparison_variant,comparison_definition_source,multiplicity,n_common,events_common,patient_groups_common,common_row_set_sha256,auroc_a,auroc_b,auroc_difference,auroc_delong_p,auprc_a,auprc_b,auprc_difference,auprc_difference_lower_ci,auprc_difference_upper_ci,auprc_paired_bootstrap_p,bootstrap_b,bootstrap_success,bootstrap_method
medicine,P1,catboost,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.9409443143695834,0.9406756709533128,0.0002686434162705309,0.9652181813741709,0.4679488387265004,0.42393312529644467,0.044015713430055725,-0.011754264974265374,0.09889196403237765,0.133,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,catboost,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.9409443143695834,0.9460190540257198,-0.005074739656136473,0.23162703149719077,0.4679488387265004,0.41638652345735333,0.05156231526914706,-0.014274850003107586,0.10602306882283095,0.142,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,logistic_regression,catboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.7765192549622589,0.9409443143695834,-0.16442505940732444,4.254567910174904e-10,0.2390567868740542,0.4679488387265004,-0.22889205185244618,-0.3113018367582091,-0.14718774318645764,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,logistic_regression,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.7765192549622589,0.9406756709533128,-0.1641564159910539,2.1871911500582146e-09,0.2390567868740542,0.42393312529644467,-0.18487633842239046,-0.2834738668025944,-0.08168680266909714,0.001,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,logistic_regression,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.7765192549622589,0.9460190540257198,-0.1694997990634609,1.5991621910339023e-10,0.2390567868740542,0.41638652345735333,-0.17732973658329912,-0.27955740177924154,-0.0772026280849686,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,rSI_sMS,catboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,58,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.8598074884256611,0.9104447444492749,-0.0506372560236138,0.014582103322499805,0.06786170579157925,0.2508742526821513,-0.18301254689057206,-0.28784831720618437,-0.09214355598073479,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,rSI_sMS,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,58,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.8598074884256611,0.9119320565331137,-0.052124568107452585,0.010986629515393115,0.06786170579157925,0.2260975735105026,-0.15823586771892334,-0.2620404961458535,-0.0755486129489582,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,rSI_sMS,logistic_regression,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,58,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.8598074884256611,0.6952039905727296,0.1646034978529315,4.713231448004208e-05,0.06786170579157925,0.06064164168763607,0.007220064103943186,-0.050251448724690374,0.047872710413857524,0.781,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,rSI_sMS,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,58,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.8598074884256611,0.9204898214462776,-0.06068233302061643,0.001625389884585635,0.06786170579157925,0.21650500358492494,-0.14864329779334567,-0.2585167576188663,-0.07484814311852452,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P1,xgboost,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P1/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,98,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.9460190540257198,0.9406756709533128,0.005343383072407004,0.15304593516399437,0.41638652345735333,0.42393312529644467,-0.007546601839091338,-0.028925218386602423,0.019823199920258102,0.679,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,catboost,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8849633977113514,0.8799054440876577,0.005057953623693656,0.0032186399441630925,0.5762144434517572,0.5608339463371855,0.015380497114571678,0.0040311543275367515,0.026880589341455822,0.007,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,catboost,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8849633977113514,0.8823468536109568,0.00261654410039458,0.05918116116116864,0.5762144434517572,0.5629608494989834,0.013253593952773812,0.0033099658421353348,0.023016403279564293,0.01,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,logistic_regression,catboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8465165397429795,0.8849633977113514,-0.038446857968371884,2.0264089634958622e-08,0.4946534862712381,0.5762144434517572,-0.08156095718051909,-0.10684322512924181,-0.05467375470910318,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,logistic_regression,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8465165397429795,0.8799054440876577,-0.03338890434467823,5.438340599455712e-06,0.4946534862712381,0.5608339463371855,-0.06618046006594741,-0.09398034652541662,-0.035568905946359086,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,logistic_regression,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8465165397429795,0.8823468536109568,-0.035830313867977304,5.674842063409579e-07,0.4946534862712381,0.5629608494989834,-0.06830736322774528,-0.0956438151683238,-0.040009874342148685,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,rSI_sMS,catboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,495,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.7352249230799672,0.8743438300735068,-0.13911890699353957,1.3352694469452058e-36,0.2977415294373245,0.49339822535151917,-0.19565669591419466,-0.2338098396855428,-0.1575353552036192,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,rSI_sMS,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,495,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.7352249230799672,0.8706709603379534,-0.1354460372579862,5.7450120759177115e-36,0.2977415294373245,0.49463883225232225,-0.19689730281499773,-0.23403009532201954,-0.15879385185853084,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,rSI_sMS,logistic_regression,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,495,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.7352249230799672,0.8335507375419227,-0.09832581446195543,3.858182813832828e-13,0.2977415294373245,0.4103334634530995,-0.112591934015775,-0.15161077315839025,-0.07303687980432695,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,rSI_sMS,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4579,495,3923,d598b0d1a07619c0d97ce0418d80c472199f614cfba470d7a91395695f1f9135,0.7352249230799672,0.8724027740678083,-0.13717785098784108,1.7498753366082183e-36,0.2977415294373245,0.491613763661728,-0.19387223422440347,-0.22988579415989036,-0.15545852791364848,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P2,xgboost,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P2/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,568,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8823468536109568,0.8799054440876577,0.0024414095232990762,0.05026912878730768,0.5629608494989834,0.5608339463371855,0.002126903161797866,-0.007894994767808302,0.011929356131835897,0.683,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P3,catboost,lightgbm,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P3/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,253,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.897501839777879,0.892678165314871,0.004823674463008021,0.03238438393274211,0.3757521387421264,0.3675046845432375,0.008247454198888893,-0.017386384765366088,0.03207954763808888,0.548,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P3,catboost,xgboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P3/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,253,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.897501839777879,0.8968901847303248,0.0006116550475542271,0.7630339704287098,0.3757521387421264,0.36906420943915547,0.0066879293029709075,-0.016527375495321718,0.0270233021515257,0.634,2000,2000,paired_outcome_stratified_patient_group_cluster
medicine,P3,logistic_regression,catboost,ESTIMATED,validation_2024,current_locked_probability_exact_common_rows,outputs/v2/stage2a/formal_v4_complete_case/P1_03-evaluation-P3/paired_model_comparisons_2024.parquet,"Prespecified source comparison set; nominal unadjusted intervals and p-values, descriptive",4770,253,4071,51c63206c91a59e76546c6c74d104c6fdcec6d93f74046eb4039054410cc3b0c,0.8014151195177464,0.897501839777879,-0.09608672026013265,5.412904207925098e-12,0.2645748302453472,0.3757521387421264,-0.11117730849677915,-0.15286903453043374,-0.07173854640924661,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster
